Hour,PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,44.14,50.48,0,2019-06-16,0 days 00:00:00.000000000,2019-06-16 00:00:00
01:00:00,42.78,48.74,1,2019-06-16,0 days 01:00:00.000000000,2019-06-16 01:00:00
02:00:00,41.36,47.45,2,2019-06-16,0 days 02:00:00.000000000,2019-06-16 02:00:00
03:00:00,40.29,45.97,3,2019-06-16,0 days 03:00:00.000000000,2019-06-16 03:00:00
04:00:00,40.12,46.19,4,2019-06-16,0 days 04:00:00.000000000,2019-06-16 04:00:00
05:00:00,46.67,53.23,5,2019-06-16,0 days 05:00:00.000000000,2019-06-16 05:00:00
06:00:00,59.23,66.0,6,2019-06-16,0 days 06:00:00.000000000,2019-06-16 06:00:00
07:00:00,77.08,84.04,7,2019-06-16,0 days 07:00:00.000000000,2019-06-16 07:00:00
08:00:00,69.59,76.89,8,2019-06-16,0 days 08:00:00.000000000,2019-06-16 08:00:00
09:00:00,50.27,57.05,9,2019-06-16,0 days 09:00:00.000000000,2019-06-16 09:00:00
10:00:00,39.92,45.54,10,2019-06-16,0 days 10:00:00.000000000,2019-06-16 10:00:00
11:00:00,35.43,40.23,11,2019-06-16,0 days 11:00:00.000000000,2019-06-16 11:00:00
12:00:00,31.42,35.51,12,2019-06-16,0 days 12:00:00.000000000,2019-06-16 12:00:00
13:00:00,29.94,33.75,13,2019-06-16,0 days 13:00:00.000000000,2019-06-16 13:00:00
14:00:00,28.52,32.02,14,2019-06-16,0 days 14:00:00.000000000,2019-06-16 14:00:00
15:00:00,28.72,32.25,15,2019-06-16,0 days 15:00:00.000000000,2019-06-16 15:00:00
16:00:00,30.42,34.35,16,2019-06-16,0 days 16:00:00.000000000,2019-06-16 16:00:00
17:00:00,32.23,36.47,17,2019-06-16,0 days 17:00:00.000000000,2019-06-16 17:00:00
18:00:00,38.57,44.14,18,2019-06-16,0 days 18:00:00.000000000,2019-06-16 18:00:00
19:00:00,47.84,56.04,19,2019-06-16,0 days 19:00:00.000000000,2019-06-16 19:00:00
20:00:00,49.48,58.38,20,2019-06-16,0 days 20:00:00.000000000,2019-06-16 20:00:00
21:00:00,48.89,57.49,21,2019-06-16,0 days 21:00:00.000000000,2019-06-16 21:00:00
22:00:00,46.33,53.82,22,2019-06-16,0 days 22:00:00.000000000,2019-06-16 22:00:00
23:00:00,45.26,52.66,23,2019-06-16,0 days 23:00:00.000000000,2019-06-16 23:00:00
