TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-03-28 10:00:00,74.59,80.64,10,0.1692,0.2947,77,0.0,88.16,487.52,23.14,0.62,0,0,0,0,1,0,0,0
2019-03-28 11:00:00,39.12,45.92,11,0.1692,0.2947,62,0.0,88.11,791.18,25.56,0.8,0,0,0,0,0,1,0,0
2019-03-28 12:00:00,34.18,40.12,12,0.1692,0.2947,55,0.0,88.03,993.52,27.73,0.94,0,0,1,0,0,0,0,0
2019-03-28 13:00:00,33.59,39.2,13,0.1692,0.2947,52,0.0,87.93,969.82,27.75,0.82,1,0,0,0,0,0,0,0
2019-03-28 14:00:00,33.27,38.79,14,0.1692,0.2947,51,0.0,87.83,531.88,27.7,0.84,0,0,0,0,0,1,0,0
2019-03-28 15:00:00,31.31,36.59,15,0.1692,0.2947,53,0.0,87.71,330.9,27.58,0.78,0,0,0,0,0,0,1,0
2019-03-28 16:00:00,36.74,43.07,16,0.1692,0.2947,73,0.15,87.7,98.08,24.33,0.53,0,0,1,0,0,0,0,0
2019-03-28 17:00:00,44.12,52.15,17,0.1692,0.2947,75,0.0,87.71,29.52,23.61,0.88,0,1,0,0,0,0,0,0
2019-03-28 18:00:00,63.32,73.79,18,0.1692,0.2947,84,0.0,87.8,17.07,21.41,1.48,1,0,0,0,0,0,0,0
2019-03-28 19:00:00,70.31,81.95,19,0.1692,0.2947,83,0.0,87.85,0.02,21.0,0.96,0,0,1,0,0,0,0,0
2019-03-28 20:00:00,74.77,86.06,20,0.1692,0.2947,83,0.03,87.85,0.0,20.93,1.12,0,0,1,0,0,0,0,0
2019-03-28 21:00:00,70.71,82.43,21,0.1692,0.2947,87,0.0,87.9,0.0,20.85,0.76,1,0,0,0,0,0,0,0
2019-03-28 22:00:00,58.04,68.83,22,0.1692,0.2947,84,0.0,87.98,0.0,21.12,0.98,1,0,0,0,0,0,0,0
2019-03-28 23:00:00,49.28,58.95,23,0.1692,0.2947,85,0.0,87.94,0.0,20.87,1.03,1,0,0,0,0,0,0,0
2019-03-29 00:00:00,41.4,49.84,0,0.1692,0.2947,87,0.0,87.9,0.0,20.48,0.68,1,0,0,0,0,0,0,0
2019-03-29 01:00:00,39.09,46.47,1,0.1692,0.2947,91,0.0,87.85,0.0,19.82,0.81,0,0,1,0,0,0,0,0
2019-03-29 02:00:00,34.24,40.85,2,0.1692,0.2947,91,0.0,87.81,0.0,19.69,0.65,0,0,1,0,0,0,0,0
2019-03-29 03:00:00,30.97,36.81,3,0.1692,0.2947,90,0.0,87.78,0.0,19.63,0.39,0,0,1,0,0,0,0,0
2019-03-29 04:00:00,33.39,39.57,4,0.1692,0.2947,90,0.0,87.77,0.0,19.71,0.72,0,0,1,0,0,0,0,0
2019-03-29 05:00:00,43.98,51.37,5,0.1692,0.2947,92,0.0,87.83,0.0,19.64,0.3,0,0,0,0,1,0,0,0
2019-03-29 06:00:00,66.64,75.27,6,0.1692,0.2947,94,0.0,87.85,1.33,19.58,0.34,0,0,0,0,0,1,0,0
2019-03-29 07:00:00,81.48,92.04,7,0.1692,0.2947,96,0.0,87.89,49.63,19.8,0.27,0,0,0,0,0,1,0,0
2019-03-29 08:00:00,74.43,85.02,8,0.1692,0.2947,93,0.0,87.97,229.6,21.2,0.5,0,1,0,0,0,0,0,0
2019-03-29 09:00:00,61.91,71.53,9,0.1692,0.2947,86,0.0,87.99,364.6,23.06,0.57,0,0,1,0,0,0,0,0
2019-03-29 10:00:00,60.8,69.8,10,0.1692,0.2947,72,0.0,87.96,638.78,25.31,0.73,0,0,0,0,0,1,0,0
2019-03-29 11:00:00,39.12,45.92,11,0.1692,0.2947,61,0.0,87.89,942.87,27.52,0.76,1,0,0,0,0,0,0,0
2019-03-29 12:00:00,44.03,49.98,12,0.1692,0.2947,55,0.0,87.81,960.32,28.67,1.0,1,0,0,0,0,0,0,0
2019-03-29 13:00:00,33.7,38.95,13,0.1692,0.2947,51,0.0,87.71,857.35,29.04,0.87,0,0,1,0,0,0,0,0
2019-03-29 14:00:00,32.18,36.93,14,0.1692,0.2947,45,0.0,87.6,817.63,30.2,0.84,0,0,1,0,0,0,0,0
2019-03-29 15:00:00,33.33,37.99,15,0.1692,0.2947,56,0.0,87.54,390.47,28.58,1.01,0,0,0,0,1,0,0,0
2019-03-29 16:00:00,33.33,38.94,16,0.1692,0.2947,60,0.0,87.52,352.92,27.91,0.98,0,0,0,0,1,0,0,0
2019-03-29 17:00:00,37.49,44.45,17,0.1692,0.2947,62,0.0,87.52,180.93,27.46,0.81,0,0,0,0,1,0,0,0
2019-03-29 18:00:00,39.41,47.19,18,0.1692,0.2947,67,0.0,87.54,57.92,26.32,0.66,0,0,0,0,1,0,0,0
2019-03-29 19:00:00,54.42,64.52,19,0.1692,0.2947,72,0.0,87.57,0.25,24.84,0.41,0,0,0,0,0,0,0,1
2019-03-29 20:00:00,83.67,92.95,20,0.1692,0.2947,81,0.0,87.61,0.0,23.57,0.34,0,0,0,1,0,0,0,0
2019-03-29 21:00:00,56.91,66.59,21,0.1692,0.2947,84,0.0,87.64,0.0,22.92,0.52,0,1,0,0,0,0,0,0
2019-03-29 22:00:00,65.21,75.3,22,0.1692,0.2947,85,0.0,87.69,0.0,22.39,0.41,0,0,0,1,0,0,0,0
2019-03-29 23:00:00,55.5,64.18,23,0.1692,0.2947,86,0.0,87.7,0.0,21.81,0.32,0,0,0,1,0,0,0,0
2019-03-30 00:00:00,48.74,59.24,0,0.1692,0.2947,84,0.0,87.68,0.0,21.89,0.3,0,0,0,0,0,0,0,1
2019-03-30 01:00:00,31.79,37.14,1,0.1692,0.2947,85,0.0,87.64,0.0,22.19,0.32,0,0,0,1,0,0,0,0
2019-03-30 02:00:00,39.8,48.01,2,0.1692,0.2947,89,0.0,87.62,0.0,21.58,1.01,0,0,1,0,0,0,0,0
2019-03-30 03:00:00,50.23,58.96,3,0.1692,0.2947,90,0.0,87.61,0.0,21.17,0.4,0,0,1,0,0,0,0,0
2019-03-30 04:00:00,57.02,67.07,4,0.1692,0.2947,89,0.0,87.64,0.0,21.41,0.39,0,0,0,0,0,0,0,1
2019-03-30 05:00:00,68.99,78.75,5,0.1692,0.2947,90,0.0,87.67,0.0,20.95,0.23,0,0,0,0,0,0,0,1
2019-03-30 06:00:00,113.52,122.16,6,0.1692,0.2947,92,0.0,87.71,0.15,20.83,0.21,0,0,0,1,0,0,0,0
2019-03-30 07:00:00,167.14,186.18,7,0.1692,0.2947,94,0.0,87.75,19.37,20.83,0.2,0,1,0,0,0,0,0,0
2019-03-30 08:00:00,176.05,198.66,8,0.1692,0.2947,92,0.0,87.86,44.12,22.18,0.2,0,0,0,0,0,0,0,1
2019-03-30 09:00:00,90.6,104.31,9,0.1692,0.2947,87,0.0,87.91,149.67,22.58,0.75,0,0,0,0,1,0,0,0
2019-03-30 10:00:00,53.6,64.13,10,0.1692,0.2947,79,0.0,87.96,247.03,23.56,0.77,0,0,0,0,0,1,0,0
2019-03-30 11:00:00,42.49,51.07,11,0.1692,0.2947,77,0.0,87.95,438.88,24.23,1.09,0,0,0,0,1,0,0,0
2019-03-30 12:00:00,31.92,36.57,12,0.1692,0.2947,71,0.0,87.87,648.18,25.77,1.12,0,0,0,0,1,0,0,0
