Hour,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,15.81,21.78,38.09,0,2019-04-29,0 days 00:00:00.000000000,2019-04-29 00:00:00
01:00:00,14.29,19.59,32.38,1,2019-04-29,0 days 01:00:00.000000000,2019-04-29 01:00:00
02:00:00,14.1,19.48,30.93,2,2019-04-29,0 days 02:00:00.000000000,2019-04-29 02:00:00
03:00:00,14.09,19.57,34.0,3,2019-04-29,0 days 03:00:00.000000000,2019-04-29 03:00:00
04:00:00,15.84,22.53,49.09,4,2019-04-29,0 days 04:00:00.000000000,2019-04-29 04:00:00
05:00:00,22.66,31.48,67.84,5,2019-04-29,0 days 05:00:00.000000000,2019-04-29 05:00:00
06:00:00,12.73,17.32,44.68,6,2019-04-29,0 days 06:00:00.000000000,2019-04-29 06:00:00
07:00:00,9.08,12.25,31.9,7,2019-04-29,0 days 07:00:00.000000000,2019-04-29 07:00:00
08:00:00,7.84,10.63,27.89,8,2019-04-29,0 days 08:00:00.000000000,2019-04-29 08:00:00
09:00:00,6.77,9.37,25.05,9,2019-04-29,0 days 09:00:00.000000000,2019-04-29 09:00:00
10:00:00,7.88,10.79,26.58,10,2019-04-29,0 days 10:00:00.000000000,2019-04-29 10:00:00
11:00:00,7.53,10.38,25.64,11,2019-04-29,0 days 11:00:00.000000000,2019-04-29 11:00:00
12:00:00,7.85,10.8,25.46,12,2019-04-29,0 days 12:00:00.000000000,2019-04-29 12:00:00
13:00:00,6.49,9.06,24.66,13,2019-04-29,0 days 13:00:00.000000000,2019-04-29 13:00:00
14:00:00,8.18,11.36,30.05,14,2019-04-29,0 days 14:00:00.000000000,2019-04-29 14:00:00
15:00:00,11.27,15.52,40.13,15,2019-04-29,0 days 15:00:00.000000000,2019-04-29 15:00:00
16:00:00,14.87,20.51,54.5,16,2019-04-29,0 days 16:00:00.000000000,2019-04-29 16:00:00
17:00:00,20.77,29.18,70.89,17,2019-04-29,0 days 17:00:00.000000000,2019-04-29 17:00:00
18:00:00,22.54,31.99,81.1,18,2019-04-29,0 days 18:00:00.000000000,2019-04-29 18:00:00
19:00:00,22.37,31.85,78.94,19,2019-04-29,0 days 19:00:00.000000000,2019-04-29 19:00:00
20:00:00,23.46,32.23,74.9,20,2019-04-29,0 days 20:00:00.000000000,2019-04-29 20:00:00
21:00:00,23.61,32.53,67.31,21,2019-04-29,0 days 21:00:00.000000000,2019-04-29 21:00:00
22:00:00,21.78,29.9,56.56,22,2019-04-29,0 days 22:00:00.000000000,2019-04-29 22:00:00
23:00:00,18.13,24.95,45.56,23,2019-04-29,0 days 23:00:00.000000000,2019-04-29 23:00:00
